,date,sales
154,2023-06-04,9633
155,2023-06-05,3665
156,2023-06-06,1501
157,2023-06-07,2387
158,2023-06-08,6838
159,2023-06-09,4179
160,2023-06-10,8567
161,2023-06-11,8325
162,2023-06-12,7906
163,2023-06-13,9899
164,2023-06-14,5242
165,2023-06-15,3322
166,2023-06-16,8419
167,2023-06-17,4867
168,2023-06-18,3848
169,2023-06-19,9496
170,2023-06-20,2230
171,2023-06-21,8273
172,2023-06-22,7560
173,2023-06-23,6418
174,2023-06-24,2091
175,2023-06-25,6516
176,2023-06-26,9343
177,2023-06-27,5474
178,2023-06-28,1662
179,2023-06-29,3898
180,2023-06-30,6809
181,2023-07-01,3320
182,2023-07-02,8413
183,2023-07-03,5475
184,2023-07-04,1052
185,2023-07-05,3180
186,2023-07-06,5131
187,2023-07-07,6613
188,2023-07-08,6264
189,2023-07-09,9416
190,2023-07-10,5629
191,2023-07-11,4799
192,2023-07-12,4965
193,2023-07-13,7731
194,2023-07-14,6991
195,2023-07-15,1067
196,2023-07-16,1847
197,2023-07-17,8868
198,2023-07-18,8917
199,2023-07-19,8365
200,2023-07-20,4089
201,2023-07-21,4488
202,2023-07-22,7286
203,2023-07-23,2795
204,2023-07-24,5588
205,2023-07-25,9451
206,2023-07-26,2839
207,2023-07-27,2038
208,2023-07-28,5617
209,2023-07-29,5720
210,2023-07-30,6086
211,2023-07-31,4443
212,2023-08-01,4745
213,2023-08-02,3592
214,2023-08-03,9602
215,2023-08-04,8081
216,2023-08-05,3643
217,2023-08-06,8899
218,2023-08-07,5909
219,2023-08-08,9987
220,2023-08-09,7477
221,2023-08-10,6193
222,2023-08-11,1687
223,2023-08-12,1968
224,2023-08-13,4022
225,2023-08-14,5462
226,2023-08-15,7842
227,2023-08-16,5452
228,2023-08-17,4565
229,2023-08-18,5017
230,2023-08-19,3114
231,2023-08-20,1930
232,2023-08-21,8909
233,2023-08-22,7708
234,2023-08-23,7521
235,2023-08-24,7383
236,2023-08-25,9275
237,2023-08-26,4550
238,2023-08-27,9522
239,2023-08-28,2530
240,2023-08-29,1766
241,2023-08-30,7668
242,2023-08-31,1995
243,2023-09-01,9678
244,2023-09-02,5917
245,2023-09-03,7858
246,2023-09-04,2576
247,2023-09-05,4222
248,2023-09-06,6318
249,2023-09-07,2750
250,2023-09-08,6106
251,2023-09-09,7109
252,2023-09-10,5550
253,2023-09-11,5441
254,2023-09-12,1658
255,2023-09-13,8794
256,2023-09-14,3532
257,2023-09-15,8003
258,2023-09-16,2334
259,2023-09-17,8436
260,2023-09-18,9486
261,2023-09-19,7484
262,2023-09-20,8222
263,2023-09-21,2082
264,2023-09-22,7924
265,2023-09-23,6306
266,2023-09-24,9864
267,2023-09-25,3759
268,2023-09-26,3328
269,2023-09-27,3384
270,2023-09-28,6089
271,2023-09-29,8589
272,2023-09-30,4487
273,2023-10-01,5782
274,2023-10-02,9530
275,2023-10-03,2432
276,2023-10-04,9581
277,2023-10-05,5403
278,2023-10-06,1285
279,2023-10-07,3059
280,2023-10-08,6689
281,2023-10-09,3698
282,2023-10-10,5817
283,2023-10-11,7655
284,2023-10-12,2620
285,2023-10-13,3549
286,2023-10-14,3557
287,2023-10-15,9076
288,2023-10-16,8098
289,2023-10-17,2597
290,2023-10-18,5909
291,2023-10-19,5471
292,2023-10-20,6108
293,2023-10-21,1833
294,2023-10-22,2592
295,2023-10-23,8237
296,2023-10-24,5687
297,2023-10-25,4956
298,2023-10-26,5402
299,2023-10-27,7772
300,2023-10-28,4770
301,2023-10-29,7481
302,2023-10-30,7974
303,2023-10-31,6092
304,2023-11-01,1730
305,2023-11-02,9874
306,2023-11-03,4330
307,2023-11-04,9104
308,2023-11-05,9222
309,2023-11-06,9350
310,2023-11-07,6584
311,2023-11-08,1738
312,2023-11-09,9895
313,2023-11-10,3692
314,2023-11-11,3443
315,2023-11-12,5928
316,2023-11-13,8845
317,2023-11-14,3384
318,2023-11-15,6330
319,2023-11-16,2586
320,2023-11-17,6680
321,2023-11-18,9541
322,2023-11-19,5716
323,2023-11-20,6155
324,2023-11-21,8977
325,2023-11-22,8775
326,2023-11-23,8157
327,2023-11-24,1890
328,2023-11-25,6065
329,2023-11-26,5376
330,2023-11-27,9056
331,2023-11-28,6977
332,2023-11-29,1167
333,2023-11-30,5505
334,2023-12-01,6177
335,2023-12-02,4558
336,2023-12-03,4737
337,2023-12-04,2210
338,2023-12-05,1505
339,2023-12-06,3681
340,2023-12-07,7008
341,2023-12-08,2244
342,2023-12-09,1103
343,2023-12-10,9076
344,2023-12-11,7403
345,2023-12-12,2161
346,2023-12-13,7924
347,2023-12-14,1208
348,2023-12-15,4777
349,2023-12-16,8294
350,2023-12-17,1612
351,2023-12-18,8277
352,2023-12-19,3015
353,2023-12-20,6321
354,2023-12-21,7035
355,2023-12-22,1106
356,2023-12-23,2914
357,2023-12-24,8150
358,2023-12-25,8419
359,2023-12-26,2174
360,2023-12-27,2976
361,2023-12-28,9089
362,2023-12-29,2227
363,2023-12-30,1922
364,2023-12-31,8846
365,2024-01-01,3034
366,2024-01-02,9492
367,2024-01-03,6084
368,2024-01-04,5188
369,2024-01-05,6970
370,2024-01-06,9777
371,2024-01-07,6669
372,2024-01-08,2057
373,2024-01-09,4500
374,2024-01-10,8451
375,2024-01-11,7961
376,2024-01-12,6940
377,2024-01-13,7130
378,2024-01-14,6292
379,2024-01-15,1925
380,2024-01-16,3532
381,2024-01-17,9393
382,2024-01-18,1493
383,2024-01-19,8246
384,2024-01-20,9816
385,2024-01-21,5787
386,2024-01-22,5612
387,2024-01-23,1703
388,2024-01-24,8502
389,2024-01-25,3559
390,2024-01-26,2011
391,2024-01-27,6311
392,2024-01-28,5931
393,2024-01-29,8381
394,2024-01-30,3634
395,2024-01-31,9634
396,2024-02-01,5461
397,2024-02-02,9357
398,2024-02-03,8623
399,2024-02-04,4343
400,2024-02-05,5949
401,2024-02-06,7178
402,2024-02-07,5609
403,2024-02-08,9228
404,2024-02-09,6007
405,2024-02-10,7634
406,2024-02-11,9972
407,2024-02-12,2887
408,2024-02-13,7757
409,2024-02-14,2333
410,2024-02-15,7036
411,2024-02-16,9110
412,2024-02-17,5536
413,2024-02-18,4942
414,2024-02-19,2371
415,2024-02-20,3280
416,2024-02-21,8333
417,2024-02-22,3815
418,2024-02-23,4541
419,2024-02-24,3366
420,2024-02-25,3613
421,2024-02-26,6137
422,2024-02-27,6795
423,2024-02-28,5909
424,2024-02-29,3709
